sents,labels
pro carry top,O S S
pls give it back sielnecr i will throw,O O P S C P O S
ggwp,S
lotus,O
47 [SEPA] 30,O SEPA O
eaxe dc,O O
i died,P O
HAHAHA [SEPA] WTF,O SEPA T
comend,O
lol gg,O S
wtf [SEPA] is oging on,T SEPA O O O
idiot natural,T O
Baited,O
w8,O
END THIS GAME PLS,O P O O
nice try,O O
holy fuck this is just the lowest tier fucking game,O T P O O O O O T O
hi,O
u 2 gay kunt,P O T T
hey [SEPA] be fair pls,O SEPA O O O
lycan well feed,C O D
commend ursa,O C
nice,O
nice game,O O
back track,S D
XD,O
fkn lag [SEPA] or just me,O O SEPA O O P
ez mid,S S
u 4 got easy money,P O O O O
haha,O
How long have you guys been a team,O O O P P O O O
BABILO,O
B,S
EZ [SEPA] EZ MID,S SEPA S S
rofl,S
w [SEPA] wb bara,O SEPA O C
nice team [SEPA] :),O O SEPA O
Report,S
FUNNY [SEPA] INJOKER,O SEPA O
are you happy,O P O
ok [SEPA] we got brood [SEPA] Ez,O SEPA P O C SEPA S
G,O
no,O
best LC world [SEPA] GG,O D O SEPA S
ggwp,S
gg,S
FUCK YOU,T P
lion kills and i tank doom ulty lol [SEPA] come doom me doom [SEPA] u like it,C O O P S C S O SEPA O C P C SEPA P O P
gg wp,S S
orryt :D,O O
gg,S
commedn me :D,O P O
noob,T
lol,O
GG,S
because low carry player,O O S O
gg wp,S S
abbadon afk,C S
wow go ask lina how laning went [SEPA] how is you cs lina laning stage,O S O C O O O SEPA O O P S C O O
;) [SEPA] :( [SEPA] no rapira [SEPA] =raport,O SEPA O SEPA O O SEPA O
i d dnt want to win [SEPA] you forced,P O O O O O SEPA P O
Lol,O
we all have flaws,P P O O
WP [SEPA] END,S SEPA O
GG Team,S O
commend me guys,O P P
gg,S
np,O
lol,O
ezzz,S
AUTO DISCONNECT,O O
as long game as more chance u have [SEPA] for win [SEPA] no point to play [SEPA] 0 chance to win,P O O P O O P O SEPA O O SEPA O O O O SEPA O O O O
hi gl hf plz lose :D,O S O O O O
have fun with creeps,O O O S
[SEPA] report pls,SEPA S O
failed [SEPA] c mon [SEPA] aim me more,O SEPA O O SEPA O P O
EZ ARBOL,S O
you resume at WD,P O O C
pro here [SEPA] b itch,O O SEPA S T
:D [SEPA] GG [SEPA] end,O SEPA S SEPA O
bisaya pisot,O O
gg,S
hgahhaha,O
he will come back or what [SEPA] try english,P O O S O P SEPA O O
door bell wait a min plz,O O O O O O
hp =] [SEPA] 2hp,O O SEPA O
Well yeah,O O
soookaaa,O
gg [SEPA] reporten sf,S SEPA O C
lmao pa did well tho kappa,O C O O O O
yah [SEPA] w8,O SEPA O
mid lol,S O
joke,O
gege,O
ez me,S P
I DONT [SEPA] GIVE [SEPA] A [SEPA] FUCK,P O SEPA O SEPA O SEPA T
Ahah,O
report lc,S D
100 critical chance,O O O
lol so are you but [SEPA] and you lost in 2k,O O O P O SEPA O P O O O
gg,S
vs solo doom [SEPA] solo lane,O S C SEPA S S
gg,S
GG,S
Am bog,C O
were friends,O O
nice manner,O O
no ss,O C
ez tinker,S C
lol [SEPA] this is 3k [SEPA] feel like pub,O SEPA P O O SEPA O O O
WOOOOOW [SEPA] yeah,O SEPA O
guys [SEPA] why you run from the friendly fish,P SEPA O P O O O O O
ok [SEPA] love u 2,O SEPA O P O
trash [SEPA] Stop pickin carry,O SEPA O O S
ez PICK ORACLE DAZZLE GO WIN EZ GAME [SEPA] ALSO GO SUCKMID EZ GAME TOO [SEPA] TOO EZA,S O C C S O S O SEPA O S O S O O SEPA O O
lol,O
haha [SEPA] woah der [SEPA] nice hook,O SEPA O O SEPA O T
and,O
oh isee,O O
lol,O
grey s talking shit too [SEPA] he is like i got packetloss and i pwn these nubs,O O O T O SEPA P O O P O O O P O P O
afk [SEPA] go end [SEPA] DAzl mid [SEPA] slark suport,S SEPA S O SEPA C S SEPA C S
Ez mid,S S
ggwp,S
lol [SEPA] lol,O SEPA O
harder,O
yeap,O
lol,O
wag ako,O O
because he is a bad player,O P O O O O
tinker 7k mmr say,C O D O
so smart this doom [SEPA] high skill,O O P C SEPA O S
ez,S
GG,S
you got abited [SEPA] DDD [SEPA] eks dee,P O O SEPA S SEPA O O
wahaha,O
wp mid,S S
lol,O
say something haha,O P O
a :d :d [SEPA] ; D ; D ; DD,O O O SEPA O O O O O S
ggg,S
lol,O
SO,O
THE,O
relax man,O P
:3,O
lol,O
nice try,O O
woo [SEPA] arrow,O SEPA O
LOL [SEPA] LOL [SEPA] LOL [SEPA] LOL [SEPA] LOL [SEPA] JOJOJOJ,O SEPA O SEPA O SEPA O SEPA O SEPA O
no mate [SEPA] gonna fuck ya in da ass,O O SEPA O T O O O T
dat arrow,O O
commend me and ww :D for supports :D [SEPA] ggwp [SEPA] babe brood :D,O P O C O O S O SEPA S SEPA O C O
Sorry for lc,O O D
AM says qop sucks,C O C T
i walked into that xD,P O O P O
disgusting riki randomed,O C O
bye wispo,O O
xD,O
REPORT INJOKER PLS [SEPA] guysreport injoker pls,S O O SEPA O O O
i stacked my creeps idiot,P O P S T
wew,O
bruh [SEPA] you need a chill pill,O SEPA P O O O O
oh cool [SEPA] themoreyouknow,O O SEPA O
where are u,P O P
maybe 2 mins [SEPA] okay,O O O SEPA O
i blame republicans,P O O
:D [SEPA] ty,O SEPA O
ay ylmao,O O
ahahahaha,O
put ss on mne,O C O O
just end gus [SEPA] mid end,O O O SEPA S O
wow im noob,O O T
g [SEPA] g,O SEPA O
are you retarded [SEPA] like how bad are yozu,O P T SEPA O O O O O
gg,S
u lost [SEPA] 143,P O SEPA O
you dont want him on your team next time [SEPA] report,P O O P O P O O O SEPA S
lol,O
bh gg [SEPA] cant wait own team mate [SEPA] xD,C S SEPA O O O O O SEPA O
wp noobs,S T
ecks dee,O O
GG,S
ur arms are shaking,P O O O
wow,O
u d won this dude [SEPA] why u feed,P O O P P SEPA O P D
LOL,O
its ok guys i just want my 6k mmr,P O P P O O P O D
invoker noob,C T
jESUS CRHIST,O O
he really is,P O O
why try to edge people on [SEPA] are you that ignored by your parents [SEPA] o boi,O O O O O O SEPA O P P O O P O SEPA O O
u whant 1 hr,P O O O
g,O
okay,O
commended sk [SEPA] has a big dick,O C SEPA O O O T
peruvian doto,O O
enigma blackhole creeps plz,C O S O
lo,O
no 6k [SEPA] no one to slay,O O SEPA O P O O
WR [SEPA] what happend [SEPA] Ur titling,C SEPA P O SEPA P O
or feed,O D
report this traash pls <3,S P O O O
EZ,S
yah,O
Ez,S
gg,S
he cant connect wtfast just connecting with t it,P O O O O O O O P
GG [SEPA] im sorry qop maybe next time [SEPA] we are teammates [SEPA] or not [SEPA] fucker,S SEPA O O C O O O SEPA P O O SEPA O O SEPA T
gg,S
[SEPA] [SEPA] wats going on [SEPA] idk,SEPA SEPA O O O SEPA O
i dont need luck,P O O O
Before being negative,O O O
psycho [SEPA] hahaha,O SEPA O
gg [SEPA] but we will get money,S SEPA O P O O O
injoker skill ahahah [SEPA] shit [SEPA] thebest,O S O SEPA T SEPA O
lol [SEPA] ember,O SEPA C
Crrrrunch,O
dont aim me later Sladar,O O P O C
haha,O
hahaha tagal mag crit,O O O D
commend enigma for good black hole,O C O O T T
mag,O
WORTH,O
divers,O
wp,S
yea maaaaadd,O O
HAHAHAHA,O
u guys are winning [SEPA] u can afford to,P P O O SEPA P O O O
hehe [SEPA] let me run,O SEPA O P O
u OK M,P O O
WTF,T
D [SEPA] ty,O SEPA O
yup [SEPA] cant even farm near my own base,O SEPA O O S O P O S
pause guys,O P
gg wp,S S
com blood,O S
im good like sf now,O O O C O
let it gooo,O P O
haha,O
1cd,O
lol,O
;),O
wtf,T
lel,O
gggg,S
WHAT ABOUT MJOLNIR,P O D
lol what,O P
i dont get tit,P O O T
pause,O
ggwp,S
rata,O
i swear to god,P O O O
you can see that but cna you see wards,P O O P O O P O S
gl u2,S O
Ez WK,S O
lol,O
worth,O
go for ff [SEPA] it is fucked up,S O S SEPA P O T O
please do not mind invoker,O O O O C
EZ GRAVE EZA GAME,S O O O
what,P
I THOUGHT ITS A CREEP [SEPA] FCKING AXE [SEPA] SORRY,P O P O S SEPA T C SEPA O
indeed,O
dont be shy [SEPA] just come on lol,O O O SEPA O O O O
LOL,O
WHY SO EZ,O O S
plant,O
commend me,O P
lost to 5 trsah [SEPA] with 4 trsah [SEPA] nice [SEPA] 4k trash,O O O O SEPA O O O SEPA O SEPA O O
reported [SEPA] for greed [SEPA] enjoy your day in the milk farm re sclard,O SEPA O O SEPA O P O O O O S O O
wirth [SEPA] worth [SEPA] werth,O SEPA O SEPA O
ez mid,S S
20sec plz,O O
fuck off jugg [SEPA] l2p,T S C SEPA O
ez top,S S
REPORT [SEPA] ES,S SEPA C
look at ur death [SEPA] noob,O O P C SEPA T
gg,S
top ember eu,S C O
GGwp,S
Liol,O
i got so much money off your treants,P O O O O S P O
linte kamu,O O
fuck u [SEPA] he doesnt want to come back [SEPA] cause u no pause,T P SEPA P O O O O S SEPA O P O O
he say me un wsp im done,P O P O O O O
damn cumback [SEPA] no need lol,O O SEPA O O O
report jakiro ty,S C O
vroom vroom,O O
hahaha,O
loda is trash,O O O
gr8 b8 m8,O O O
fv mid,O S
not a fun game for me,O O O O O P
ggwp,S
silencer [SEPA] i will commend u friendly,C SEPA P O O P O
lol,O
like you,O P
ITS HAPPENING [SEPA] OMG,P O SEPA O
Gg [SEPA] gg wp [SEPA] ez game,S SEPA S S SEPA S O
ok try hard more,O O O O
dont worry i dont,O O P O
morale of the story is [SEPA] follow ur heart [SEPA] and dodge when u have 2 cunts muted [SEPA] 4ks barking all gamme [SEPA] fk me,O O O O O SEPA O P D SEPA O O O P O O T O SEPA O O P O SEPA O P
Reported [SEPA] 10 days a week [SEPA] fking idiots [SEPA] ive done done drugs for almost 20 years now and im fucking fine [SEPA] fine sir [SEPA] HAHA,O SEPA O O O O SEPA T T SEPA O O O O O O O O O O O T O SEPA O O SEPA O
nikolaiv wins,O O
report slark pls,S C O
wp,S
damn sf [SEPA] i gave u 1 kill,O C SEPA P O P O O
rip ta,O C
Ez doom [SEPA] my illu [SEPA] haahhaah,S C SEPA P O SEPA O
#ERROR!,O
Because I told you to help bot that is constantly gtting ganked rather than push a t,O P O P O S S P O O O S O O S O O
what a stupid game,P O T O
nah [SEPA] wollongong [SEPA] south of sydney [SEPA] dapto,O SEPA O SEPA O O O SEPA O
maube next game,O O O
1,O
se,O
i dare ya pa,P O O C
aahaha [SEPA] no,O SEPA O
dont [SEPA] bully [SEPA] my friend [SEPA] ok [SEPA] you bully him all game,O SEPA O SEPA P O SEPA O SEPA P O P P O
Sexyness,O
sky [SEPA] is the worst player,C SEPA O O O O
stop lying to yourself,O O O P
gg,S
5,O
this was ez,P O S
u guys,P P
can u just let us push and end,O P O O P S O O
xD,O
bg [SEPA] XD,O SEPA O
stop when 5min are near,O O O O O
LEARN SOME MMR FCKTARD,O P D T
Gg,S
pff,O
Why are you still talking in all chat [SEPA] hahaha,O O P O O O P O SEPA O
probably easier to explain an bility,O O O O O O
reported invoker,O C
gg wp [SEPA] i give up [SEPA] i delete this game,S S SEPA P O O SEPA P O P O
z [SEPA] Ez [SEPA] reprot lc,O SEPA S SEPA O D
tjat has to be gg,O O O O S
we lost,P O
fayze,O
go end [SEPA] ty [SEPA] doom thinks he is pro,S O SEPA O SEPA C O P O O
FUCKING,T
why keep stun [SEPA] BKB,O O S SEPA D
yeah,O
was a good game,O O O O
fireworks,O
7 [SEPA] K,O SEPA O
Chase me,O P
yep,O
HAHAHA,O
nah [SEPA] i go suicede [SEPA] in jungle,O SEPA P S O SEPA O S
fuck,T
gg friends,S O
u will have the same shit as me next game [SEPA] go sf,P O O O O T P P O O SEPA S C
gg,S
all feed [SEPA] : [SEPA] 4k [SEPA] idiot sad,P D SEPA O SEPA O SEPA T O
you and tiny and tuskar,P O C O C
intro boys,O O
haha,O
he is an idiot,P O O T
u mad bro,P O P
Go kill,S O
ouch,O
report tinker pls [SEPA] nmooob,S C O SEPA O
WTF,T
yea [SEPA] i see [SEPA] i m mother fucking bad [SEPA] gege,O SEPA P O SEPA P O C T O SEPA O
gg,S
DXXDXDXDXDXD,O
hahaha,O
ya,O
noob with 7 creeps [SEPA] on sf,T O O S SEPA O C
All report Mirana and troll,P S C O C
ff and report gyro and void [SEPA] 2 usles playes [SEPA] go fuck your self noob gyro,S O S C O C SEPA O O O SEPA S T P O T C
Who the FUCK dooms PUGNA [SEPA] :D,P O T O C SEPA O
trash am,O C
XD,O
ShUT D FAQ UP,O O O O
thats me,P P
ez [SEPA] ez [SEPA] ez mmr,S SEPA S SEPA S D
asfd ojgba s,O O O
Gg,S
for ruining game on purpose,O O O O O
gg,S
retard,T
Gg [SEPA] GG [SEPA] lolo,S SEPA S SEPA O
no ne tolko chto imenno izza nego,O O O O O O O
nice abandon,O O
gg,S
who is that,P O P
with kill 14,O O O
not just 6 sents,O O O O
fuck you,T P
eZ [SEPA] hAHA,S SEPA O
nyxnynyxynxnyxnyxnyxny,O
he healed,P O
butterfl [SEPA] im alreadty,D SEPA O O
girlssss,P
HARD THIS GAME,O P O
MY ESE IS HERE,P O O O
GG VOID [SEPA] EZ void,S C SEPA S C
LOL,O
gege,O
hi [SEPA] [SEPA],O SEPA SEPA
we have an dc [SEPA] r u retarded or something like that [SEPA] i mean u r russian [SEPA] but u know,P O O O SEPA O P T O P O P SEPA P O P O O SEPA O P O
w e,O O
Thx clock,O C
SO NOOB,O T
lol 6 souls [SEPA] end,O O O SEPA O
wards at the same place [SEPA] wtf,S O O O O SEPA T
gg [SEPA] ez mid,S SEPA S S
Anyone can buy an account,P O O O O
why,O
with ur shitty blademail first item vs TA [SEPA] lol,O P T D O O O C SEPA O
Suda idite [SEPA] Vseh viebu,O O SEPA O O
gg,S
chill,O
my keyboard didnt work [SEPA] sorry to delay,P O O O SEPA O O O
gg,S
oh shit am said her name,O T C O P O
how can u be sure,O O P O O
end [SEPA] plx,O SEPA O
you have a tp tusk,P O O S C
wr is nice dude,C O O P
babilo,O
gl,S
better supports [SEPA] better game,O S SEPA O O
i jsut think we cant just run at their base [SEPA] like you are doing,P O O P O O O O P S SEPA O P O O
love u,O P
Easy [SEPA] hmmmm [SEPA] like range creep,O SEPA O SEPA O O S
commend am ahaha,O C O
gg wp,S S
whatever [SEPA] bg [SEPA] fuck techies,P SEPA O SEPA T C
you too [SEPA] 3 v 1 noob,P O SEPA O O O T
confirmed weaver 30 atar,O C O O
make me happy with ur report,O P O O P S
gg,S
xaxaxaxaxaxaxaxax [SEPA] cyka cyka gracias [SEPA] ty,O SEPA O O O SEPA O
fuck me treant [SEPA] u look pretty,T P O SEPA P O O
lol,O
reKT [SEPA] dAT STUN [SEPA] lol,O SEPA O S SEPA O
rofl,S
lol kunkka,O C
fuck optus,T O
you :D :D,P O O
reporting my team,O P O
what,P
first time because of you,O O O O P
lol,O
GO END,S O
you mean we are actually playing [SEPA] gj hf fam,P O P O O O SEPA S O O
i had abilities,P O O
gg,S
wtf,T
haha,O
lmfao,T
nice random [SEPA] :O,O O SEPA O
fu,T
piece of cake :),O O O O
tide was more like a tsunami,C O O O O O
go feed,S D
wtf u can do against qop [SEPA] on mid,T P O O O C SEPA O S
Rampage,O
carried by who,O O P
gg,S
at least I have a level,O O P O O O
feeder blame me [SEPA] 7 [SEPA] boys [SEPA] here we go,S O P SEPA O SEPA O SEPA O P S
that bkb [SEPA] use,P D SEPA O
GG,S
lol,O
sec,O
kappa,O
gj lich and naga,S C O C
nice tony,O O
pudge played rly well and carried your sorry ass,C O O O O O P O T
11,O
k wk is the worst [SEPA] wr is 2nd,O O O O O SEPA C O O
lol,O
ory [SEPA] oryt,O SEPA O
z,O
loL [SEPA] OkAY [SEPA] EZ aLcheMIst LOl,O SEPA O SEPA S C O
OKAY,O
no,O
lol [SEPA] cock [SEPA] i mean clock,O SEPA T SEPA P O C
GG [SEPA] END [SEPA] end now,S SEPA O SEPA O O
i guess you could say he is playing as if clcockwerk,P O P O O P O O P O O
NICE TRY,O O
kill that es tinker,O P C C
sad,O
lolllllllll,O
nice la,O O
Report invoker,S C
AAYY LMAO,O O
Wew,O
do we even have a slark [SEPA] i didnt notice,O P O O O C SEPA P O O
aw,O
350,O
Also do not touch my runes [SEPA] They are my shiny runes,O O O O P O SEPA P O P O O
ezzzy,S
gg,S
sorry [SEPA] voker told me to do it,O SEPA C O P O O P
im confsued now who should i report,O O O P O P S
boom [SEPA] gj wind,T SEPA S C
gg,S
haha,O
SPARE ME,O P
no w8 4 me haha :P,O O O P O O
ty mofo,O T
233,O
DIDNT SEE MY LIFE LAGH,O O P O O
you can dat that,P O O P
commend my dick plzz [SEPA] comeback is real,O P T O SEPA O O O
useless af team [SEPA] only one doing anything is tusk everyone else is stroking off,O O O SEPA O P O P O C P O O O S
SEARCH ON FB CEN IZA PLS,O O S O O O
im lagging but i wont hold you all up,O O O P O O P P O
ruskies on west eu is bad enough,O O O O O O P
gg wp,S S
becoz ur weak,O P O
omg,O
noob,T
ww cant armor [SEPA] me,C O O SEPA P
fcking miss,T S
axe y wr brutos [SEPA] :(,C O C O SEPA O
nice arrow,O O
gg,S
connecting today,O O
ty,O
why,O
COMEBACK IS REAL,O O O
noob items [SEPA] spec [SEPA] lol im getting 1k ping when clashing,T O SEPA O SEPA O O O O O O O
wrote him you xyilo sf,O P P O C
bruh,O
:( [SEPA] wtf [SEPA] 2248 gold,O SEPA T SEPA O O
ez,S
ez,S
yolo,O
sad,O
wpwpw [SEPA] ff,O SEPA S
XD,O
yeah we fucking lost,O P T O
wow,O
yep,O
gg,S
rip,O
ggwp,S
ty baited [SEPA] ty lc we win,O O SEPA O D P O
san lupam 5 pairs,O O O O
w8 plz,O O
next time bro [SEPA] next time,O O P SEPA O O
Low team,O O
lol [SEPA] yea pick another carry,O SEPA O O P S
dont cry keep moving,O O O O
lol,O
LOL,O
fair gam guys tnx for understand,O O P O O O
nice boy,O O
y [SEPA] i know [SEPA] nobody said that we will unpause [SEPA] so,O SEPA P O SEPA P O P P O O SEPA O
report pudge and am pls,S C O C O
KIDS,O
ggwp,S
5 streak xD,O O O
report qop,S C
gg,S
HAHAHAHAHHAAH [SEPA] PL [SEPA] sry lag response [SEPA] from about 5min early game,O SEPA C SEPA O O O SEPA O O O O O
oh pot,O O
haha,O
doom tp top [SEPA] when we have vision on you rosh [SEPA] XDDDDD,C S S SEPA O P O O O P S SEPA O
ez bait,S S
guys whats he doing no time,P P P O O O
Ty,O
on some game losing SHIT [SEPA] RIGHT THERE,O P O O T SEPA O P
bot is down : facts,S O O O O
i liek both :S,P O P O
lol,O
stupid magnus [SEPA] pizda,T C SEPA O
EZ MID,S S
soon i wont have mana you tp,O P O O S P S
lol,O
keep pushing [SEPA] rax should fall pretty soon,O O SEPA S O O O O
ez,S
KEKEE,O
HAHA,O
i made that up just to make me sound smar,P O P O O O O P O O
sent,O
kaka buy back lang ea,O O S O O
for,O
morph,C
rekt,O
GG [SEPA] WP [SEPA] Ez axe ez slardar,S SEPA S SEPA S C S C
REPORT KUNKKA,S C
ggwp,S
report pudge please :D,S C O O
but u r clashing,O P O O
dafuq was this luna,T O P C
just push and end guys [SEPA] gg wp,O S O O P SEPA S S
GEGE,O
where u at BIGBADBIRD,P P O O
LOL,O
commend my team [SEPA] Pls,O P O SEPA O
restarting pc [SEPA] something wrong with dota [SEPA] please wait,O O SEPA P O O D SEPA O O
gg,S
easy game easi life,O O O O
thats what im asking ffs [SEPA] either way diff against me :,P P O O T SEPA P O O O P O
ah well,O O
gg,S
keep dream oracle,O O C
JAMES DEAN BITCH,O O T
copy paste,O O
Atlas na bobo tanginmao [SEPA] pa cute [SEPA] HAHAHAHA,O O O O SEPA C O SEPA O
why [SEPA] haa,O SEPA O
lol,O
end =.= [SEPA] def forever,O O SEPA O O
carry ww yo,S C O
6v4,O
im your food,O P O
what up amiga,P O O
just w8 3 min and go next,O O O O O S O
gg,S
i dont even [SEPA],P O O SEPA
LOL THATM ISS,O O O
gg wp,S S
cuz i dont wanna feed u :D,P P O O D P O
fk u,O P
ks all game and say ez game [SEPA] wp necro,S P O O O S O SEPA S C
cant believe your wards see me plantign all those wards,O O P S O P O P P S
im gonna commend Puck and report this Alchemist cunt,O O O C O S P C T
GG [SEPA] j blyj,S SEPA O O
let them defend jugger,O P O C
wait,O
[SEPA] 10 bashes,SEPA O O
wp,S
:(,O
Me mushe,P O
haha,O
1 PA eport = 1 commendation,O C O O O O
haha,O
boring game ever,O O O
gee gee,O O
defending ur friend,O P O
Stick team haha,D O O
captain obvious [SEPA] captain obvious [SEPA] captain obvious [SEPA] captain obvious [SEPA] captain obvious [SEPA] FACTS,O O SEPA O O SEPA O O SEPA O O SEPA O O SEPA O
wtf [SEPA] wait la [SEPA] i said i can cum back [SEPA] rubish,T SEPA O O SEPA P O P O T S SEPA O
Just report them if you dont want them on your team,O S P O P O O P O P O
OMg alchi reportd plz he is fk nooob [SEPA] Fail mid,O C O O P O O O SEPA O S
BH [SEPA] let me [SEPA] rege,C SEPA O P SEPA O
LOL,O
haha,O
not rl [SEPA] gyro is not meta [SEPA] :,O O SEPA C O O O SEPA O
ur mother,P C
THE CREEPS,O S
next time dont play spec [SEPA] coz of lag,O O O O O SEPA O O O
gg,S
HI [SEPA] 1ult 3die sad T T ;,O SEPA O O O O O O
no prob [SEPA] ez,O O SEPA S
QOP,C
fair,O
not my prob,O P O
53 secs [SEPA] pause it later,O O SEPA O P O
LOL [SEPA] 2 hit,O SEPA O O
lolz,O
SRSLY,O
gg sisihan na,S O O
sorry,O
I LL BRING THE CHEESE,P O O O O
pinoy ka [SEPA] sgh,O O SEPA O
lol am,O C
no max shrapnel = gg,O O D O S
pls [SEPA] = =,O SEPA O O
haha [SEPA] he use all skill for me,O SEPA P O P S O P
fuckin craos [SEPA] craps,T O SEPA O
ez [SEPA] ezzz [SEPA] ezzz,S SEPA S SEPA S
:( [SEPA] my flesh spoils [SEPA] but im a robot,O SEPA P O O SEPA O O O O
hi,O
yea damo,O O
ez,S
LET THIS BE A LESSON,O P O O O
lol,O
gg,S
wa,O
we are right next to each other,P O O O O P P
he is on [SEPA] but do not enter,P O O SEPA O O O O
the fingering begins,O O O
dog shit stains [SEPA] acc buyers,O T O SEPA O O
he needs rc [SEPA] plz wait ty [SEPA] ty,P O O SEPA O O O SEPA O
shhht no one saw that,O O P O P
tnx to alchee [SEPA] hahahaha,O O C SEPA O
bb ftw,C O
astraling hero who has shackled,O O P O D
rofmao,O
thanks omni : [SEPA] now he goes in low <3 [SEPA] lovely kid,O C O SEPA O P O O O O SEPA O O
ROFL,S
10 hp,O O
No u wait for mine,O P O O P
srsly [SEPA] she is gone for 6 or 7 min [SEPA] 8with afk [SEPA] with afk time,O SEPA P O O O O O O O SEPA O S SEPA O S O
LOL,O
haha,O
ok,O
da,O
lol go NP,O S O
y u deny my tp :(,O P S P S O
so raged,O O
gg,S
we have already won,P O O O
LMFAO,T
ahahahaha,O
how are you clinkzz,O O P C
k,O
hahaha,O
agree,O
you had a good feeder in mid,P O O O S O S
LELS GGWP,O S
i would get that r checked if i were you,P O O P O O O P O P
gg la kids [SEPA] well played,S O O SEPA O O
D,O
gg,S
gg ez,S S
magic,O
haha [SEPA] 11 he sat ez,O SEPA O P O S
report TY [SEPA] NICE PLAYERS 4 k,S O SEPA O O O O
HALLO,O
nice doom,O C
bobo ka [SEPA] hero ka ng hero,O O SEPA O O O O
gg,S
well [SEPA] its a hard early game,O SEPA P O O O O
so dont tt,O O O
gg,S
our sf so noob [SEPA] :(,P C O T SEPA O
5 cs qop won [SEPA] ftw,O S C O SEPA O
hi jesus,O O
you had 5 v 4 [SEPA] ROFLAJHJAKHDJAKLDNALKDN :,P O O O O SEPA O O
sry um fucking drunk,O O T O
our net sucks here so haf to use wtfast,P O T O O O O O O
haha [SEPA] i am having fun,O SEPA P C O O
dagon O o,D O O
thjis retard alch win win,O T C O O
ez game,S O
xd [SEPA] xd [SEPA] xd [SEPA] xd,O SEPA O SEPA O SEPA O
THAT LAST PICK SPEC [SEPA] LIKE U KNOW SHIT [SEPA] ROFL,P O O O SEPA O P O T SEPA S
lol,O
hahaha look mkb,O O D
Gg [SEPA] Ez invoker,S SEPA S C
gg,S
yea [SEPA] if online we go paused,O SEPA O O P S O
bye bey gg,O O S
yeah [SEPA] but,O SEPA O
Coold snap kid [SEPA] ROFL,O O O SEPA S
Rage rage,D D
lol,O
blue toilet,O O
raku,O
IDIOT,T
[SEPA] o0o,SEPA O
haha,O
gg,S
ambulance here :3,O O O
< LOL,O O
ez game,S O
LOL,O
lock item noob,O O T
TY,O
who first picks pudge ahhaha,P O O C O
i will report wr [SEPA] gg,P O S C SEPA S
sorry for the sf,O O O C
ez mid [SEPA] ez mid [SEPA] ezmid [SEPA] ez mid [SEPA] ez mid,S S SEPA S S SEPA S SEPA S S SEPA S S
gg,S
fuck my life,T P O
are you scared wont finish [SEPA] i see i see,O P O O O SEPA P O P O
Wp,S
AHHAH,O
glgl,O
report centaur please,S C O
fix the internet and play,O O O O O
